Stockname,Date,Open,High,Low,Close,Adj Close,Volume,Returns
DAX,26/09/2018,12395.2002,12395.91992,12329.51953,12385.88965,12385.88965,74964500,0.093105469
DAX,27/09/2018,12329.40039,12456.69043,12272.65039,12435.58984,12435.58984,89854700,-1.061894531
DAX,28/09/2018,12381.36035,12394.16016,12190.57031,12246.73047,12246.73047,110639600,1.346298828
DAX,01/10/2018,12265.88965,12373.29004,12263.09961,12339.03027,12339.03027,76918300,-0.73140625
DAX,02/10/2018,12229.07031,12310.75977,12203.59961,12287.58008,12287.58008,82307700,-0.585097656
DAX,04/10/2018,12275.07031,12348.86035,12174.69043,12244.13965,12244.13965,101177000,0.309306641
DAX,05/10/2018,12236.29004,12245.41016,12103.5498,12111.90039,12111.90039,94036400,1.243896484
DAX,08/10/2018,12044.95996,12072.26953,11938.7998,11947.16016,11947.16016,77268800,0.977998047
DAX,09/10/2018,11963.62988,11998.63965,11803.19043,11977.21973,11977.21973,77186000,-0.135898438
DAX,10/10/2018,11976.7002,11978.7998,11712.26953,11712.5,11712.5,0,2.642001953
DAX,11/10/2018,11558.98047,11700.5,11518.55957,11539.34961,11539.34961,142293600,0.196308594
DAX,12/10/2018,11691.46973,11693.83984,11514.5498,11523.80957,11523.80957,99171000,1.676601563
DAX,15/10/2018,11523.80957,11625.01953,11459.08008,11614.16016,11614.16016,71968200,-0.903505859
DAX,16/10/2018,11637.62012,11790.15039,11606.96973,11776.5498,11776.5498,85693600,-1.389296875
DAX,17/10/2018,11811.46973,11847.79004,11669.95996,11715.03027,11715.03027,93600200,0.964394531
DAX,18/10/2018,11695.19043,11791.21973,11586.32031,11589.20996,11589.20996,97180800,1.059804688
DAX,19/10/2018,11578.84961,11617.28027,11498.69043,11553.83008,11553.83008,128743800,0.250195313
DAX,22/10/2018,11665.67969,11677.4502,11497.08984,11524.33984,11524.33984,73772600,1.413398438
DAX,23/10/2018,11367.57031,11394.20996,11228.5,11274.28027,11274.28027,115195200,0.932900391
DAX,24/10/2018,11298.65039,11391.94043,11166.83984,11191.62988,11191.62988,117472700,1.070205078
DAX,25/10/2018,11098.67969,11324.91992,11078.37012,11307.12012,11307.12012,0,-2.084404297
DAX,26/10/2018,11180.95996,11205.83008,11051.04004,11200.62012,11200.62012,138702800,-0.196601563
DAX,29/10/2018,11270.66992,11444.86035,11218.91992,11335.48047,11335.48047,98716300,-0.648105469
